node,night_flow_ratio,daily_variance,trend,max_increase,coefficient_variation,flow_p50,flow_p95,mean_pressure,pressure_variance,scenario,label
11,0.9999740809191113,0.0,9.952642248727654e-20,0.0,0.0,0.038580615,0.038580615,64.25521,0.0,scenario_0002,1
12,0.999980574836056,6.938893903907228e-18,5.612198057925853e-19,0.0,1.347891516735105e-16,0.051478617,0.051478617,64.132675,0.0,scenario_0002,1
13,0.9999862129077239,0.0,4.885003066462053e-19,0.0,0.0,0.07253061,0.07253061,63.74019599999999,7.105427357601002e-15,scenario_0002,1
14,0.9999789268884621,6.938893903907228e-18,5.0947685902541925e-20,0.0,1.462240851863513e-16,0.047452837,0.047452837,63.84139600000001,7.105427357601002e-15,scenario_0002,1
15,0.9999537178776037,3.469446951953614e-18,4.020739951792687e-19,0.0,1.6057336847783024e-16,0.021605615,0.021605615,63.80225800000001,7.105427357601002e-15,scenario_0002,1
16,0.9999581948607772,3.469446951953614e-18,2.493982392755246e-19,0.0,1.4504071285260601e-16,0.023919504,0.023919504,63.802944000000004,7.105427357601002e-15,scenario_0002,1
17,0.9999850177187949,1.3877787807814457e-17,6.232732391678765e-19,0.0,2.079209194418389e-16,0.06674451,0.06674451,64.47611,0.0,scenario_0002,1
18,0.9999903643824407,1.3877787807814457e-17,3.7317213064361896e-19,0.0,1.337210558846013e-16,0.10378062,0.10378062,65.42164000000001,1.4210854715202004e-14,scenario_0002,1
19,0.9997840926549962,0.0,4.3411006179037073e-20,0.0,0.0,0.0046306164,0.0046306164,66.05702,0.0,scenario_0002,1
20,0.9999898354997611,1.3877787807814457e-17,1.8437923665753013e-18,0.0,1.410607774888689e-16,0.09838062,0.09838062,65.37021,0.0,scenario_0002,1
21,0.9999860645434605,0.0,2.2184256813842605e-19,0.0,0.0,0.0717584,0.0717584,64.49826,0.0,scenario_0002,1
22,0.999973278667901,0.0,5.32400125488669e-19,0.0,0.0,0.037422284,0.037422284,64.01654,0.0,scenario_0002,1
23,0.9999875983442004,1.3877787807814457e-17,-1.3064419930402834e-19,0.0,1.7210754765285957e-16,0.080633394,0.080633394,64.81409500000001,1.4210854715202004e-14,scenario_0002,1
24,0.9999841955403608,0.0,4.37153808177519e-19,0.0,0.0,0.06327228,0.06327228,64.348946,0.0,scenario_0002,1
25,0.9999237672807187,0.0,1.5846515969973631e-19,0.0,0.0,0.013116727,0.013116727,64.06154,0.0,scenario_0002,1
26,0.9999856002188766,0.0,6.611690163030463e-19,0.0,0.0,0.0694445,0.0694445,63.752483,0.0,scenario_0002,1
27,0.9999649750306994,3.469446951953614e-18,2.6775369841651365e-19,0.0,1.215172729822856e-16,0.02855006,0.02855006,63.69733,0.0,scenario_0002,1
28,0.999955314925436,3.469446951953614e-18,2.0726959793587513e-19,0.0,1.550324957437964e-16,0.022377837,0.022377837,64.017296,0.0,scenario_0002,1
29,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.588066000000005,7.105427357601002e-15,scenario_0002,1
30,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.50619,0.0,scenario_0002,1
31,0.9998766016641254,0.0,1.6161985550351337e-19,0.0,0.0,0.008102837,0.008102837,63.551926,0.0,scenario_0002,1
32,0.9999839008145931,0.0,6.24743009906245e-19,0.0,0.0,0.062113944,0.062113944,63.67283199999999,7.105427357601002e-15,scenario_0002,1
1,1.000000646474384,2.220446049250313e-16,-3.393408644372647e-17,0.0,-1.4354614920423934e-16,-1.5468527,-1.5468527,-1.5625000000000003e-06,2.117582368135751e-22,scenario_0002,1
2,0.999985438297772,1.3877787807814457e-17,5.958078296695885e-19,0.0,2.020842136413511e-16,0.06867229,0.06867229,69.73333000000001,1.4210854715202004e-14,scenario_0003,0
3,0.9999847531155864,0.0,7.88301769205787e-19,0.0,0.0,0.06558617,0.06558617,66.425095,0.0,scenario_0003,0
4,0.999900315173516,0.0,3.171795688334286e-20,0.0,0.0,0.010030617,0.010030617,66.012375,0.0,scenario_0003,0
5,0.9999821245763301,0.0,1.57045348336223e-19,0.0,0.0,0.05594173,0.05594173,65.50137,0.0,scenario_0003,0
6,0.9999871048091453,0.0,6.523709980671323e-19,0.0,0.0,0.07754729,0.07754729,64.96656,0.0,scenario_0003,0
7,0.9999904000979958,1.3877787807814457e-17,1.2377583667641013e-18,0.0,1.3322540299010504e-16,0.10416673,0.10416673,64.842834,0.0,scenario_0003,0
8,0.9999764372955199,6.938893903907228e-18,7.036510364511285e-19,0.0,1.634991064764974e-16,0.04243895,0.04243895,64.69911,0.0,scenario_0003,0
9,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.586235,0.0,scenario_0003,0
10,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.50468,0.0,scenario_0003,0
11,0.9999740809191113,0.0,9.952642248727654e-20,0.0,0.0,0.038580615,0.038580615,64.35923000000001,1.4210854715202004e-14,scenario_0003,0
12,0.9999768583711487,6.938893903907228e-18,3.049040085339444e-19,0.0,1.6057730736288474e-16,0.04321117,0.04321117,64.25138,0.0,scenario_0003,0
13,0.9999862129077239,0.0,4.885003066462053e-19,0.0,0.0,0.07253061,0.07253061,63.858902,0.0,scenario_0003,0
14,0.9999789268884621,6.938893903907228e-18,5.0947685902541925e-20,0.0,1.462240851863513e-16,0.047452837,0.047452837,63.91184,0.0,scenario_0003,0
15,0.9999537178776037,3.469446951953614e-18,4.020739951792687e-19,0.0,1.6057336847783024e-16,0.021605615,0.021605615,63.86837400000001,7.105427357601002e-15,scenario_0003,0
16,0.9999581948607772,3.469446951953614e-18,2.493982392755246e-19,0.0,1.4504071285260601e-16,0.023919504,0.023919504,63.868355,0.0,scenario_0003,0
17,0.9999850177187949,1.3877787807814457e-17,6.232732391678765e-19,0.0,2.079209194418389e-16,0.06674451,0.06674451,64.52562999999999,1.4210854715202004e-14,scenario_0003,0
18,0.9999903643824407,1.3877787807814457e-17,3.7317213064361896e-19,0.0,1.337210558846013e-16,0.10378062,0.10378062,65.463,0.0,scenario_0003,0
19,0.9997840926549962,0.0,4.3411006179037073e-20,0.0,0.0,0.0046306164,0.0046306164,66.09562,0.0,scenario_0003,0
20,0.9999898354997611,1.3877787807814457e-17,1.8437923665753013e-18,0.0,1.410607774888689e-16,0.09838062,0.09838062,65.40963999999998,1.4210854715202004e-14,scenario_0003,0
21,0.9999860645434605,0.0,2.2184256813842605e-19,0.0,0.0,0.0717584,0.0717584,64.53768000000001,1.4210854715202004e-14,scenario_0003,0
22,0.999973278667901,0.0,5.32400125488669e-19,0.0,0.0,0.037422284,0.037422284,64.05597,0.0,scenario_0003,0
23,0.9999875983442004,1.3877787807814457e-17,-1.3064419930402834e-19,0.0,1.7210754765285957e-16,0.080633394,0.080633394,64.855385,0.0,scenario_0003,0
24,0.9999841955403608,0.0,4.37153808177519e-19,0.0,0.0,0.06327228,0.06327228,64.39249000000001,1.4210854715202004e-14,scenario_0003,0
25,0.9999237672807187,0.0,1.5846515969973631e-19,0.0,0.0,0.013116727,0.013116727,64.10694000000001,1.4210854715202004e-14,scenario_0003,0
26,0.9999856002188766,0.0,6.611690163030463e-19,0.0,0.0,0.0694445,0.0694445,63.802628000000006,7.105427357601002e-15,scenario_0003,0
27,0.9999649750306994,3.469446951953614e-18,2.6775369841651365e-19,0.0,1.215172729822856e-16,0.02855006,0.02855006,63.75209,0.0,scenario_0003,0
28,0.999955314925436,3.469446951953614e-18,2.0726959793587513e-19,0.0,1.550324957437964e-16,0.022377837,0.022377837,64.05978,0.0,scenario_0003,0
29,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.631596,0.0,scenario_0003,0
30,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.55064399999999,7.105427357601002e-15,scenario_0003,0
31,0.9998766016641254,0.0,1.6161985550351337e-19,0.0,0.0,0.008102837,0.008102837,63.596577,0.0,scenario_0003,0
32,0.9999839008145931,0.0,6.24743009906245e-19,0.0,0.0,0.062113944,0.062113944,63.717859999999995,7.105427357601002e-15,scenario_0003,0
1,1.0000006499481795,0.0,-2.131958799217898e-17,0.0,-0.0,-1.5385852,-1.5385852,-1.5625000000000003e-06,2.117582368135751e-22,scenario_0003,0
2,0.999985438297772,1.3877787807814457e-17,5.958078296695885e-19,0.0,2.020842136413511e-16,0.06867229,0.06867229,69.73010999999998,1.4210854715202004e-14,scenario_0004,1
3,0.9999847531155864,0.0,7.88301769205787e-19,0.0,0.0,0.06558617,0.06558617,66.38017,0.0,scenario_0004,1
4,0.999900315173516,0.0,3.171795688334286e-20,0.0,0.0,0.010030617,0.010030617,65.96613,0.0,scenario_0004,1
5,0.9999821245763301,0.0,1.57045348336223e-19,0.0,0.0,0.05594173,0.05594173,65.45347,0.0,scenario_0004,1
6,0.9999871048091453,0.0,6.523709980671323e-19,0.0,0.0,0.07754729,0.07754729,64.91674,0.0,scenario_0004,1
7,0.9999904000979958,1.3877787807814457e-17,1.2377583667641013e-18,0.0,1.3322540299010504e-16,0.10416673,0.10416673,64.79248,0.0,scenario_0004,1
8,0.9999764372955199,6.938893903907228e-18,7.036510364511285e-19,0.0,1.634991064764974e-16,0.04243895,0.04243895,64.64797,0.0,scenario_0004,1
9,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.53438599999998,1.4210854715202004e-14,scenario_0004,1
10,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.45224999999999,1.4210854715202004e-14,scenario_0004,1
11,0.9999740809191113,0.0,9.952642248727654e-20,0.0,0.0,0.038580615,0.038580615,64.30678999999999,1.4210854715202004e-14,scenario_0004,1
12,0.9999768583711487,6.938893903907228e-18,3.049040085339444e-19,0.0,1.6057730736288474e-16,0.04321117,0.04321117,64.19896,0.0,scenario_0004,1
13,0.9999862129077239,0.0,4.885003066462053e-19,0.0,0.0,0.07253061,0.07253061,63.80648000000001,7.105427357601002e-15,scenario_0004,1
14,0.9999789268884621,6.938893903907228e-18,5.0947685902541925e-20,0.0,1.462240851863513e-16,0.047452837,0.047452837,63.843033000000005,7.105427357601002e-15,scenario_0004,1
15,0.9999537178776037,3.469446951953614e-18,4.020739951792687e-19,0.0,1.6057336847783024e-16,0.021605615,0.021605615,63.79568999999999,7.105427357601002e-15,scenario_0004,1
16,0.9999581948607772,3.469446951953614e-18,2.493982392755246e-19,0.0,1.4504071285260601e-16,0.023919504,0.023919504,63.79481499999999,7.105427357601002e-15,scenario_0004,1
17,0.9999850177187949,1.3877787807814457e-17,6.232732391678765e-19,0.0,2.079209194418389e-16,0.06674451,0.06674451,64.46821,0.0,scenario_0004,1
18,0.9999903643824407,1.3877787807814457e-17,3.7317213064361896e-19,0.0,1.337210558846013e-16,0.10378062,0.10378062,65.41385000000001,1.4210854715202004e-14,scenario_0004,1
19,0.9997840926549962,0.0,4.3411006179037073e-20,0.0,0.0,0.0046306164,0.0046306164,66.04928000000001,1.4210854715202004e-14,scenario_0004,1
20,0.9999898354997611,1.3877787807814457e-17,1.8437923665753013e-18,0.0,1.410607774888689e-16,0.09838062,0.09838062,65.33791,0.0,scenario_0004,1
21,0.9999860645434605,0.0,2.2184256813842605e-19,0.0,0.0,0.0717584,0.0717584,64.46596,0.0,scenario_0004,1
22,0.999973278667901,0.0,5.32400125488669e-19,0.0,0.0,0.037422284,0.037422284,63.984245,0.0,scenario_0004,1
23,0.9999875983442004,1.3877787807814457e-17,-1.3064419930402834e-19,0.0,1.7210754765285957e-16,0.080633394,0.080633394,64.76114999999999,1.4210854715202004e-14,scenario_0004,1
24,0.9999863483521028,0.0,4.9208980574884395e-19,0.0,0.0,0.07325023,0.07325023,64.269875,0.0,scenario_0004,1
25,0.9999237672749073,0.0,8.165591334713124e-20,0.0,0.0,0.013116726,0.013116726,63.989353,0.0,scenario_0004,1
26,0.9999856002188766,0.0,6.611690163030463e-19,0.0,0.0,0.0694445,0.0694445,63.69517499999999,7.105427357601002e-15,scenario_0004,1
27,0.9999649750306994,3.469446951953614e-18,2.6775369841651365e-19,0.0,1.215172729822856e-16,0.02855006,0.02855006,63.653957,0.0,scenario_0004,1
28,0.999955314925436,3.469446951953614e-18,2.0726959793587513e-19,0.0,1.550324957437964e-16,0.022377837,0.022377837,63.95876700000001,7.105427357601002e-15,scenario_0004,1
29,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.524628,0.0,scenario_0004,1
30,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.43838,0.0,scenario_0004,1
31,0.9998766016641254,0.0,1.6161985550351337e-19,0.0,0.0,0.008102837,0.008102837,63.48319600000001,7.105427357601002e-15,scenario_0004,1
32,0.9999839008145931,0.0,6.24743009906245e-19,0.0,0.0,0.062113944,0.062113944,63.60237999999999,7.105427357601002e-15,scenario_0004,1
1,1.000000645760306,0.0,-6.167321890508483e-18,0.0,-0.0,-1.5485632,-1.5485632,-1.5625000000000003e-06,2.117582368135751e-22,scenario_0004,1
2,0.999985438297772,1.3877787807814457e-17,5.958078296695885e-19,0.0,2.020842136413511e-16,0.06867229,0.06867229,69.73333000000001,1.4210854715202004e-14,scenario_0005,0
3,0.9999847531155864,0.0,7.88301769205787e-19,0.0,0.0,0.06558617,0.06558617,66.425095,0.0,scenario_0005,0
4,0.999900315173516,0.0,3.171795688334286e-20,0.0,0.0,0.010030617,0.010030617,66.012375,0.0,scenario_0005,0
5,0.9999821245763301,0.0,1.57045348336223e-19,0.0,0.0,0.05594173,0.05594173,65.50137,0.0,scenario_0005,0
6,0.9999871048091453,0.0,6.523709980671323e-19,0.0,0.0,0.07754729,0.07754729,64.96656,0.0,scenario_0005,0
7,0.9999904000979958,1.3877787807814457e-17,1.2377583667641013e-18,0.0,1.3322540299010504e-16,0.10416673,0.10416673,64.842834,0.0,scenario_0005,0
8,0.9999764372955199,6.938893903907228e-18,7.036510364511285e-19,0.0,1.634991064764974e-16,0.04243895,0.04243895,64.69911,0.0,scenario_0005,0
9,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.586235,0.0,scenario_0005,0
10,0.9999753143672135,6.938893903907228e-18,5.467535427375068e-19,0.0,1.7129098685599234e-16,0.040508393,0.040508393,64.50468,0.0,scenario_0005,0
11,0.9999740809191113,0.0,9.952642248727654e-20,0.0,0.0,0.038580615,0.038580615,64.35923000000001,1.4210854715202004e-14,scenario_0005,0
12,0.9999768583711487,6.938893903907228e-18,3.049040085339444e-19,0.0,1.6057730736288474e-16,0.04321117,0.04321117,64.25138,0.0,scenario_0005,0
13,0.9999862129077239,0.0,4.885003066462053e-19,0.0,0.0,0.07253061,0.07253061,63.858902,0.0,scenario_0005,0
14,0.9999789268884621,6.938893903907228e-18,5.0947685902541925e-20,0.0,1.462240851863513e-16,0.047452837,0.047452837,63.91184,0.0,scenario_0005,0
15,0.9999537178776037,3.469446951953614e-18,4.020739951792687e-19,0.0,1.6057336847783024e-16,0.021605615,0.021605615,63.86837400000001,7.105427357601002e-15,scenario_0005,0
16,0.9999581948607772,3.469446951953614e-18,2.493982392755246e-19,0.0,1.4504071285260601e-16,0.023919504,0.023919504,63.868355,0.0,scenario_0005,0
17,0.9999850177187949,1.3877787807814457e-17,6.232732391678765e-19,0.0,2.079209194418389e-16,0.06674451,0.06674451,64.52562999999999,1.4210854715202004e-14,scenario_0005,0
18,0.9999903643824407,1.3877787807814457e-17,3.7317213064361896e-19,0.0,1.337210558846013e-16,0.10378062,0.10378062,65.463,0.0,scenario_0005,0
19,0.9997840926549962,0.0,4.3411006179037073e-20,0.0,0.0,0.0046306164,0.0046306164,66.09562,0.0,scenario_0005,0
20,0.9999898354997611,1.3877787807814457e-17,1.8437923665753013e-18,0.0,1.410607774888689e-16,0.09838062,0.09838062,65.40963999999998,1.4210854715202004e-14,scenario_0005,0
21,0.9999860645434605,0.0,2.2184256813842605e-19,0.0,0.0,0.0717584,0.0717584,64.53768000000001,1.4210854715202004e-14,scenario_0005,0
22,0.999973278667901,0.0,5.32400125488669e-19,0.0,0.0,0.037422284,0.037422284,64.05597,0.0,scenario_0005,0
23,0.9999875983442004,1.3877787807814457e-17,-1.3064419930402834e-19,0.0,1.7210754765285957e-16,0.080633394,0.080633394,64.855385,0.0,scenario_0005,0
24,0.9999841955403608,0.0,4.37153808177519e-19,0.0,0.0,0.06327228,0.06327228,64.39249000000001,1.4210854715202004e-14,scenario_0005,0
25,0.9999237672807187,0.0,1.5846515969973631e-19,0.0,0.0,0.013116727,0.013116727,64.10694000000001,1.4210854715202004e-14,scenario_0005,0
26,0.9999856002188766,0.0,6.611690163030463e-19,0.0,0.0,0.0694445,0.0694445,63.802628000000006,7.105427357601002e-15,scenario_0005,0
27,0.9999649750306994,3.469446951953614e-18,2.6775369841651365e-19,0.0,1.215172729822856e-16,0.02855006,0.02855006,63.75209,0.0,scenario_0005,0
28,0.999955314925436,3.469446951953614e-18,2.0726959793587513e-19,0.0,1.550324957437964e-16,0.022377837,0.022377837,64.05978,0.0,scenario_0005,0
29,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.631596,0.0,scenario_0005,0
30,0.9999640013739955,0.0,4.834030361212281e-19,0.0,0.0,0.027777838,0.027777838,63.55064399999999,7.105427357601002e-15,scenario_0005,0
31,0.9998766016641254,0.0,1.6161985550351337e-19,0.0,0.0,0.008102837,0.008102837,63.596577,0.0,scenario_0005,0
32,0.9999839008145931,0.0,6.24743009906245e-19,0.0,0.0,0.062113944,0.062113944,63.717859999999995,7.105427357601002e-15,scenario_0005,0
1,1.0000006499481795,0.0,-2.131958799217898e-17,0.0,-0.0,-1.5385852,-1.5385852,-1.5625000000000003e-06,2.117582368135751e-22,scenario_0005,0
